kernel,phase,pass,ms
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',ReassociatePass,0.027
arrayexpr,Module passes (cheap optimization for refprune),AlwaysInlinerPass,0.026
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LibCallsShrinkWrapPass,0.025
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',TailCallElimPass,0.025
arrayexpr,Finalize object,BreakFalseDeps #6,0.023
arrayexpr,Finalize object,Machine Block Frequency Analysis #29,0.023
arrayexpr,Finalize object,Machine Block Frequency Analysis #30,0.023
arrayexpr,Finalize object,X86 LEA Optimize #5,0.023
arrayexpr,Finalize object,Live Register Matrix #5,0.023
arrayexpr,Finalize object,X86 vzeroupper inserter,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #37,0.023
arrayexpr,Finalize object,Greedy Register Allocator #10,0.023
arrayexpr,Finalize object,Init Undef Pass #6,0.023
arrayexpr,Finalize object,X86 cmov Conversion #5,0.023
arrayexpr,Finalize object,MachinePostDominator Tree Construction #11,0.023
arrayexpr,Finalize object,MachinePostDominator Tree Construction #10,0.023
arrayexpr,Finalize object,X86 Fixup SetCC #6,0.023
arrayexpr,Finalize object,Machine Block Frequency Analysis #27,0.023
arrayexpr,Finalize object,Natural Loop Information #22,0.023
arrayexpr,Finalize object,Machine Natural Loop Construction #17,0.023
arrayexpr,Finalize object,Finalize ISel and expand pseudo-instructions #6,0.023
arrayexpr,Finalize object,Live DEBUG_VALUE analysis #6,0.023
arrayexpr,Finalize object,Machine Loop Invariant Code Motion #6,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #38,0.023
arrayexpr,Finalize object,Expand memcmp() to load/stores #6,0.023
arrayexpr,Finalize object,MachinePostDominator Tree Construction #12,0.023
arrayexpr,Finalize object,Remove unreachable blocks from the CFG #5,0.023
arrayexpr,Finalize object,Early Tail Duplication #4,0.023
arrayexpr,Finalize object,X86 Optimize Call Frame #6,0.023
arrayexpr,Finalize object,PostRA Machine Sink #6,0.023
arrayexpr,Finalize object,Post-RA pseudo instruction expansion pass #6,0.023
arrayexpr,Finalize object,Machine Cycle Info Analysis #6,0.023
arrayexpr,Finalize object,Remove unreachable machine basic blocks #5,0.023
arrayexpr,Finalize object,Free MachineFunction #6,0.023
arrayexpr,Finalize object,Natural Loop Information #25,0.023
arrayexpr,Finalize object,Merge disjoint stack slots #6,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #39,0.023
arrayexpr,Finalize object,X86 LEA Fixup #6,0.023
arrayexpr,Finalize object,Lower AMX type for load/store #5,0.023
arrayexpr,Finalize object,Natural Loop Information #23,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #34,0.023
arrayexpr,Finalize object,X86 Fixup Inst Tuning #6,0.023
arrayexpr,Finalize object,Tail Duplication #6,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #36,0.023
arrayexpr,Finalize object,Interleaved Access Pass #6,0.023
arrayexpr,Finalize object,X86 Avoid Store Forwarding Blocks #6,0.023
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #20,0.023
arrayexpr,Finalize object,Post-Dominator Tree Construction #11,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #32,0.023
arrayexpr,Finalize object,X86 LEA Optimize #6,0.023
arrayexpr,Finalize object,X86 vzeroupper inserter #4,0.023
arrayexpr,Finalize object,X86 cmov Conversion #6,0.023
arrayexpr,Finalize object,Check CFA info and insert CFI instructions if needed #2,0.023
arrayexpr,Finalize object,Machine Natural Loop Construction #13,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #28,0.023
arrayexpr,Finalize object,Finalize ISel and expand pseudo-instructions #5,0.023
arrayexpr,Finalize object,Machine Cycle Info Analysis #5,0.023
arrayexpr,Finalize object,MachinePostDominator Tree Construction #13,0.023
arrayexpr,Finalize object,Tail Duplication #4,0.023
arrayexpr,Finalize object,Post-RA pseudo instruction expansion pass #5,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #29,0.023
arrayexpr,Finalize object,Remove unreachable machine basic blocks #6,0.023
arrayexpr,Finalize object,X86 Optimize Call Frame #4,0.023
arrayexpr,Finalize object,X86 Fixup Vector Constants #6,0.023
arrayexpr,Finalize object,X86 pseudo instruction expansion pass #6,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #31,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #30,0.023
arrayexpr,Finalize object,Machine Block Frequency Analysis #24,0.023
arrayexpr,Finalize object,Post-Dominator Tree Construction #6,0.023
arrayexpr,Finalize object,Live Register Matrix #6,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #15,0.023
arrayexpr,Finalize object,Greedy Register Allocator #8,0.023
arrayexpr,Finalize object,Machine Block Frequency Analysis #25,0.023
arrayexpr,Finalize object,Live DEBUG_VALUE analysis #5,0.023
arrayexpr,Finalize object,Finalize ISel and expand pseudo-instructions #4,0.023
arrayexpr,Finalize object,Early Tail Duplication #5,0.023
arrayexpr,Finalize object,Expand memcmp() to load/stores #5,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #40,0.023
arrayexpr,Finalize object,X86 Fixup Inst Tuning #5,0.023
arrayexpr,Finalize object,Canonicalize natural loops #5,0.023
arrayexpr,Finalize object,X86 Fixup SetCC #5,0.023
arrayexpr,Finalize object,Natural Loop Information #19,0.023
arrayexpr,Finalize object,Machine Loop Invariant Code Motion #5,0.023
arrayexpr,Finalize object,Remove unreachable blocks from the CFG #6,0.023
arrayexpr,Finalize object,Merge disjoint stack slots #5,0.023
arrayexpr,Finalize object,X86 pseudo instruction expansion pass #5,0.023
arrayexpr,Finalize object,Machine Natural Loop Construction #12,0.023
arrayexpr,Finalize object,MachineDominator Tree Construction #21,0.023
arrayexpr,Finalize object,Process Implicit Definitions #3,0.023
arrayexpr,Finalize object,MachinePostDominator Tree Construction #14,0.023
arrayexpr,Finalize object,Machine Loop Invariant Code Motion #4,0.023
arrayexpr,Finalize object,MachinePostDominator Tree Construction #15,0.023
arrayexpr,Finalize object,Natural Loop Information #27,0.023
arrayexpr,Finalize object,Natural Loop Information #26,0.023
arrayexpr,Finalize object,Natural Loop Information #28,0.023
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',TailCallElimPass,0.02
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',AggressiveInstCombinePass,0.02
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefNormalizePass,0.02
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LibCallsShrinkWrapPass,0.02
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',VectorCombinePass,0.02
arrayexpr,Finalize object,Function Alias Analysis Results #16,0.018
arrayexpr,Finalize object,MachineDominator Tree Construction #35,0.017
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',AggressiveInstCombinePass,0.017
arrayexpr,Finalize object,MachineDominator Tree Construction #33,0.015
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',TailCallElimPass,0.015
arrayexpr,Finalize object,Interleaved Access Pass #5,0.015
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LibCallsShrinkWrapPass,0.013
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefNormalizePass,0.012
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',VectorCombinePass,0.012
arrayexpr,Finalize object,Expand Atomic instructions #5,0.011
arrayexpr,Finalize object,Virtual Register Map #5,0.011
arrayexpr,Finalize object,Machine Trace Metrics,0.011
arrayexpr,Module passes (cheap optimization for refprune),EntryExitInstrumenterPass,0.01
arrayexpr,Module passes (cheap optimization for refprune),AllocTokenPass,0.01
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',RefNormalizePass,0.009
arrayexpr,Finalize object,Machine Trace Metrics #2,0.008
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',VectorCombinePass,0.008
arrayexpr,Finalize object,Check CFA info and insert CFI instructions if needed,0.006
arrayexpr,Finalize object,Exception handling preparation #6,0.006
arrayexpr,Finalize object,Debug Variable Analysis #6,0.005
arrayexpr,Finalize object,Bundle Machine CFG Edges #11,0.005
arrayexpr,Module passes (cheap optimization for refprune),CoroConditionalWrapper,0.005
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LCSSAPass,0.004
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyPass,0.004
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MoveAutoInitPass,0.001
arrayexpr,Module passes (full optimization),CallSiteSplittingPass,0.0
arrayexpr,Module passes (full optimization),"RequireAnalysisPass<llvm::ShouldNotRunFunctionPassesAnalysis, llvm::Function>",0.0
arrayexpr,Module passes (full optimization),DeadArgumentEliminationPass,0.0
arrayexpr,Module passes (full optimization),AlwaysInlinerPass,0.0
arrayexpr,Module passes (full optimization),LowerConstantIntrinsicsPass,0.0
arrayexpr,Module passes (full optimization),CoroAnnotationElidePass,0.0
arrayexpr,Module passes (full optimization),LowerExpectIntrinsicPass,0.0
arrayexpr,Module passes (full optimization),AllocTokenPass,0.0
arrayexpr,Module passes (full optimization),DivRemPairsPass,0.0
arrayexpr,Module passes (full optimization),ControlHeightReductionPass,0.0
arrayexpr,Module passes (full optimization),CoroSplitPass,0.0
arrayexpr,Module passes (full optimization),MergedLoadStoreMotionPass,0.0
arrayexpr,Module passes (full optimization),PromotePass,0.0
arrayexpr,Module passes (full optimization),ArgumentPromotionPass,0.0
arrayexpr,Module passes (full optimization),AlignmentFromAssumptionsPass,0.0
arrayexpr,Module passes (full optimization),InjectTLIMappings,0.0
arrayexpr,Module passes (full optimization),AnnotationRemarksPass,0.0
arrayexpr,Module passes (full optimization),MoveAutoInitPass,0.0
arrayexpr,Module passes (full optimization),CoroElidePass,0.0
arrayexpr,Module passes (full optimization),InvalidateAnalysisPass<llvm::AAManager>,0.0
arrayexpr,Module passes (full optimization),SpeculativeExecutionPass,0.0
arrayexpr,Module passes (full optimization),OpenMPOptCGSCCPass,0.0
arrayexpr,Module passes (full optimization),MemProfRemoveInfo,0.0
arrayexpr,Module passes (full optimization),EntryExitInstrumenterPass,0.0
arrayexpr,Module passes (full optimization),InvalidateAnalysisPass<llvm::ShouldNotRunFunctionPassesAnalysis>,0.0
arrayexpr,Module passes (full optimization),LoopSinkPass,0.0
arrayexpr,Module passes (full optimization),ConstantMergePass,0.0
arrayexpr,Module passes (full optimization),OpenMPOptPass,0.0
arrayexpr,Module passes (full optimization),CoroEarlyPass,0.0
arrayexpr,Module passes (full optimization),CoroCleanupPass,0.0
arrayexpr,Module passes (full optimization),RelLookupTableConverterPass,0.0
arrayexpr,Module passes (full optimization),Annotation2MetadataPass,0.0
arrayexpr,Module passes (full optimization),EliminateAvailableExternallyPass,0.0
arrayexpr,Module passes (full optimization),ForceFunctionAttrsPass,0.0
arrayexpr,Module passes (full optimization),"RequireAnalysisPass<llvm::ProfileSummaryAnalysis, llvm::Module>",0.0
arrayexpr,Finalize object,Expand Atomic instructions #6,0.0
arrayexpr,Finalize object,Partially inline calls to library functions #5,0.0
arrayexpr,Finalize object,Bundle Machine CFG Edges #10,0.0
arrayexpr,Finalize object,Optimize machine instruction PHIs #6,0.0
arrayexpr,Finalize object,Scalarize Masked Memory Intrinsics #6,0.0
arrayexpr,Finalize object,Process Implicit Definitions #6,0.0
arrayexpr,Finalize object,Replace intrinsics with calls to vector library #5,0.0
arrayexpr,Finalize object,Expand reduction intrinsics #6,0.0
arrayexpr,Finalize object,X86 Partial Reduction #4,0.0
arrayexpr,Finalize object,Merge contiguous icmps into a memcmp #6,0.0
arrayexpr,Finalize object,Live Stack Slot Analysis #4,0.0
arrayexpr,Finalize object,Lower AMX type for load/store #6,0.0
arrayexpr,Finalize object,Local Dynamic TLS Access Clean-up #6,0.0
arrayexpr,Finalize object,Spill Code Placement Analysis #3,0.0
arrayexpr,Finalize object,Function Alias Analysis Results #15,0.0
arrayexpr,Finalize object,Virtual Register Map #4,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #21,0.0
arrayexpr,Finalize object,ObjC ARC contraction #6,0.0
arrayexpr,Finalize object,Function Alias Analysis Results #14,0.0
arrayexpr,Finalize object,X86 EFLAGS copy lowering #5,0.0
arrayexpr,Finalize object,Pre-ISel Intrinsic Lowering #7,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #22,0.0
arrayexpr,Finalize object,Post RA top-down list latency scheduler #5,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #55,0.0
arrayexpr,Finalize object,X86 Domain Reassignment Pass #6,0.0
arrayexpr,Finalize object,Lazy Branch Probability Analysis #18,0.0
arrayexpr,Finalize object,Expand indirectbr instructions #4,0.0
arrayexpr,Finalize object,Compressing EVEX instrs when possible #6,0.0
arrayexpr,Finalize object,Insert stack protectors #4,0.0
arrayexpr,Finalize object,Unpack machine instruction bundles #6,0.0
arrayexpr,Finalize object,Assignment Tracking Analysis #5,0.0
arrayexpr,Finalize object,Prepare callbr #5,0.0
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #21,0.0
arrayexpr,Finalize object,Early If-Conversion #4,0.0
arrayexpr,Finalize object,X86 Indirect Branch Tracking #6,0.0
arrayexpr,Finalize object,Implement the 'patchable-function' attribute #6,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #49,0.0
arrayexpr,Finalize object,X86 Speculative Execution Side Effect Suppression #6,0.0
arrayexpr,Finalize object,Lazy Branch Probability Analysis #16,0.0
arrayexpr,Finalize object,Remove Loads Into Fake Uses #6,0.0
arrayexpr,Finalize object,Analyze Machine Code For Garbage Collection #6,0.0
arrayexpr,Finalize object,Insert XRay ops #6,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #56,0.0
arrayexpr,Finalize object,Stack Frame Layout Analysis #6,0.0
arrayexpr,Finalize object,X86 insert wait instruction #6,0.0
arrayexpr,Finalize object,Insert fentry calls #6,0.0
arrayexpr,Finalize object,Lazy Block Frequency Analysis #18,0.0
arrayexpr,Finalize object,X86 PIC Global Base Reg Initialization #6,0.0
arrayexpr,Finalize object,Argument Stack Rebase #6,0.0
arrayexpr,Finalize object,Local Stack Slot Allocation #6,0.0
arrayexpr,Finalize object,X86 speculative load hardening #6,0.0
arrayexpr,Finalize object,Detect Dead Lanes #5,0.0
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #19,0.0
arrayexpr,Finalize object,X86 Lower Tile Copy #5,0.0
arrayexpr,Finalize object,X86 FP Stackifier #6,0.0
arrayexpr,Finalize object,X86 Suppress APX features for relocation #6,0.0
arrayexpr,Finalize object,Lower Garbage Collection Instructions #6,0.0
arrayexpr,Finalize object,Machine Sanitizer Binary Metadata #6,0.0
arrayexpr,Finalize object,Shadow Stack GC Lowering #5,0.0
arrayexpr,Finalize object,StackMap Liveness Analysis #6,0.0
arrayexpr,Finalize object,Lazy Block Frequency Analysis #16,0.0
arrayexpr,Finalize object,Contiguously Lay Out Funclets #6,0.0
arrayexpr,Finalize object,Lazy Branch Probability Analysis #17,0.0
arrayexpr,Finalize object,Optimization Remark Emitter #4,0.0
arrayexpr,Finalize object,X86 Atom pad short functions #3,0.0
arrayexpr,Finalize object,Remove Redundant DEBUG_VALUE analysis #6,0.0
arrayexpr,Finalize object,Insert KCFI indirect call checks #5,0.0
arrayexpr,Finalize object,Tile Register Configure #6,0.0
arrayexpr,Finalize object,Register Allocation Pass Scoring #6,0.0
arrayexpr,Finalize object,Tile Register Pre-configure #6,0.0
arrayexpr,Finalize object,Pseudo Probe Inserter #6,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #50,0.0
arrayexpr,Finalize object,X86 Return Thunks #5,0.0
arrayexpr,Finalize object,Rename Disconnected Subregister Components #6,0.0
arrayexpr,Finalize object,X86 DynAlloca Expander #5,0.0
arrayexpr,Finalize object,Instrument function entry/exit with calls to e.g. mcount() (post inlining) #5,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #53,0.0
arrayexpr,Finalize object,Safe Stack instrumentation pass #5,0.0
arrayexpr,Finalize object,X86 Indirect Thunks #6,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #48,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #57,0.0
arrayexpr,Finalize object,Lazy Block Frequency Analysis #17,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #24,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #52,0.0
arrayexpr,Finalize object,Fixup Statepoint Caller Saved #6,0.0
arrayexpr,Finalize object,X86 Load Value Injection (LVI) Load Hardening #6,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #51,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #54,0.0
arrayexpr,Finalize object,Assumption Cache Tracker #7,0.0
arrayexpr,Finalize object,Lower AMX intrinsics #5,0.0
arrayexpr,Finalize object,X86 Load Value Injection (LVI) Ret-Hardening #6,0.0
arrayexpr,Finalize object,Target Library Information #2,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #23,0.0
arrayexpr,Finalize object,Create Garbage Collector Module Metadata #7,0.0
arrayexpr,Finalize object,Library Function Lowering Analysis #7,0.0
arrayexpr,Finalize object,Lower AMX intrinsics #4,0.0
arrayexpr,Finalize object,Default Regalloc Priority Advisor #7,0.0
arrayexpr,Finalize object,Profile summary info #7,0.0
arrayexpr,Finalize object,Target Pass Configuration #7,0.0
arrayexpr,Finalize object,Type-Based Alias Analysis #7,0.0
arrayexpr,Finalize object,Machine Branch Probability Analysis #7,0.0
arrayexpr,Finalize object,Default Regalloc Eviction Advisor #7,0.0
arrayexpr,Finalize object,Target Transform Information #7,0.0
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SpeculativeExecutionPass,0.0
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MergedLoadStoreMotionPass,0.0
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CoroElidePass,0.0
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MoveAutoInitPass,0.0
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LoopSimplifyPass,0.0
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MergedLoadStoreMotionPass,0.0
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LCSSAPass,0.0
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SpeculativeExecutionPass,0.0
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MoveAutoInitPass,0.0
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CoroElidePass,0.0
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SpeculativeExecutionPass,0.0
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',MergedLoadStoreMotionPass,0.0
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CoroElidePass,0.0
arrayexpr,Finalize object,Replace intrinsics with calls to vector library #6,0.0
arrayexpr,Finalize object,Bundle Machine CFG Edges #12,0.0
arrayexpr,Finalize object,Merge contiguous icmps into a memcmp #5,0.0
arrayexpr,Finalize object,Live Stack Slot Analysis #5,0.0
arrayexpr,Finalize object,Spill Code Placement Analysis #2,0.0
arrayexpr,Finalize object,Machine Optimization Remark Emitter #20,0.0
arrayexpr,Finalize object,Virtual Register Map #6,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #47,0.0
arrayexpr,Finalize object,Expand indirectbr instructions #6,0.0
arrayexpr,Finalize object,X86 Atom pad short functions,0.0
arrayexpr,Finalize object,Insert stack protectors #3,0.0
arrayexpr,Finalize object,X86 LEA Fixup #5,0.0
arrayexpr,Finalize object,Create Garbage Collector Module Metadata #6,0.0
arrayexpr,Finalize object,Branch Probability Analysis,0.0
arrayexpr,Finalize object,Local Dynamic TLS Access Clean-up #5,0.0
arrayexpr,Finalize object,X86 Suppress APX features for relocation #5,0.0
arrayexpr,Finalize object,Detect Dead Lanes #6,0.0
arrayexpr,Finalize object,X86 Indirect Thunks #5,0.0
arrayexpr,Finalize object,Lazy Branch Probability Analysis #14,0.0
arrayexpr,Finalize object,Assignment Tracking Analysis #4,0.0
arrayexpr,Finalize object,Instrument function entry/exit with calls to e.g. mcount() (post inlining) #6,0.0
arrayexpr,Finalize object,Tile Register Pre-configure #5,0.0
arrayexpr,Finalize object,Optimization Remark Emitter #6,0.0
arrayexpr,Finalize object,Basic Alias Analysis (stateless AA impl) #18,0.0
arrayexpr,Finalize object,Lazy Branch Probability Analysis #15,0.0
arrayexpr,Finalize object,Analyze Machine Code For Garbage Collection #5,0.0
arrayexpr,Finalize object,Lazy Machine Block Frequency Analysis #46,0.0
